Município,Estado,Administração pública direta,Sociedade de economia mista com administração pública,Empresa privada,Empresa pública,Organização social,POPULAÇÃO ESTIMADA,sabesp,cedae,copasa,sanepar,corsan,embasa,compesa,saneago,caesb,cagece,brk,Reclamacoes a cada 1000 habitantes,Extravasamentos de esgotos registrados a cada 1000 habitantes,Quantidade de interrupções sistemáticas a cada 1000 habitantes,Quantidade de serviços executados a cada 1000 habitantes,QD011 - Quantidades de extravasamentos de esgotos registrados,QD021 - Quantidade de interrupções sistemáticas,QD023 - Quantidade de reclamações ou solicitações de serviços,QD024 - Quantidade de serviços executados
Rio Branco,AC,1,0,0,0,0,"407319,0",0,0,0,0,0,0,0,0,0,0,0,"37,71982156491595",,"0,005646679874987417","28,694954077762144",,"2,3","15364,0","11688,0"
Anadia,AL,0,1,0,0,0,"17545,0",0,0,0,0,0,0,0,0,0,0,0,"154,74494157879738",,"0,4559703619264748","151,7811342262753",,"8,0","2715,0","2663,0"
Arapiraca,AL,1,1,0,0,0,"231747,0",0,0,0,0,0,0,0,0,0,0,0,"32,380138685721924","0,6817779733933989",,"26,317492783078098","158,0",,"7504,0","6099,0"
Barra de São Miguel,AL,1,1,0,0,0,"8322,0",0,0,0,0,0,0,0,0,0,0,0,"164,3835616438356",,,"154,40999759673156",,,"1368,0","1285,0"
Batalha,AL,1,1,0,0,0,"18232,0",0,0,0,0,0,0,0,0,0,0,0,"59,236507240017545","0,767880649407635","6,636682755594559","59,236507240017545","14,0","121,0","1080,0","1080,0"
Cacimbinhas,AL,1,1,0,0,0,"10858,0",0,0,0,0,0,0,0,0,0,0,0,"24,68226192669",,"17,59071652237981","24,68226192669",,"191,0","268,0","268,0"
Cajueiro,AL,0,0,0,0,0,"21264,0",0,0,0,0,0,0,0,0,0,0,0,"81,02896914973664",,"0,6583897667419112","76,84349134687734",,"14,0","1723,0","1634,0"
Campo Alegre,AL,1,1,0,0,0,"57063,0",0,0,0,0,0,0,0,0,0,0,0,"15,263831204107742",,,"15,176208751730544",,,"871,0","866,0"
Capela,AL,0,1,0,0,0,"17053,0",0,0,0,0,0,0,0,0,0,0,0,"177,32950214038587","0,9382513340761156","0,1759221251392717","173,9869817627397","16,0","3,0","3024,0","2967,0"
Coité do Nóia,AL,1,1,0,0,0,"10693,0",0,0,0,0,0,0,0,0,0,0,0,"5,704666604320583",,"2,2444589918638362","5,424109230337604",,"24,0","61,0","58,0"
Coruripe,AL,1,0,0,0,0,"56933,0",0,0,0,0,0,0,0,0,0,0,0,"42,94521630688705",,"1,1943863839952225","41,55762036077495",,"68,0","2445,0","2366,0"
Delmiro Gouveia,AL,1,1,0,0,0,"52016,0",0,0,0,0,0,0,0,0,0,0,0,"104,19870808981851",,"0,03844970778222086","81,97477699169487",,"2,0","5420,0","4264,0"
Dois Riachos,AL,1,1,0,0,0,"11075,0",0,0,0,0,0,0,0,0,0,0,0,"47,67494356659142",,"15,98194130925508","47,67494356659142",,"177,0","528,0","528,0"
Estrela de Alagoas,AL,0,1,0,0,0,"18205,0",0,0,0,0,0,0,0,0,0,0,0,"139,63196923922",,"1,5380390002746498","137,21505081021698",,"28,0","2542,0","2498,0"
Flexeiras,AL,0,1,0,0,0,"12790,0",0,0,0,0,0,0,0,0,0,0,0,"16,810007818608288",,"27,912431587177483","16,810007818608288",,"357,0","215,0","215,0"
Ibateguara,AL,1,1,0,0,0,"15616,0",0,0,0,0,0,0,0,0,0,0,0,"7,364241803278689",,,"7,364241803278689",,,"115,0","115,0"
Jacaré dos Homens,AL,1,1,0,0,0,"5253,0",0,0,0,0,0,0,0,0,0,0,0,"58,44279459356559",,"3,9977155910908055","58,44279459356559",,"21,0","307,0","307,0"
Jacuípe,AL,1,1,0,0,0,"7021,0",0,0,0,0,0,0,0,0,0,0,0,"29,767839339125484",,,"29,767839339125484",,,"209,0","209,0"
Jaramataia,AL,1,1,0,0,0,"5770,0",0,0,0,0,0,0,0,0,0,0,0,"83,1889081455806",,"45,060658578856156","83,1889081455806",,"260,0","480,0","480,0"
Joaquim Gomes,AL,0,1,0,0,0,"23993,0",0,0,0,0,0,0,0,0,0,0,0,"48,76422289834535",,,"48,76422289834535",,,"1170,0","1170,0"
Jundiá,AL,1,1,0,0,0,"4155,0",0,0,0,0,0,0,0,0,0,0,0,"10,58965102286402",,,"10,58965102286402",,,"44,0","44,0"
Maceió,AL,0,1,0,0,0,"1018948,0",0,0,0,0,0,0,0,0,0,0,0,"52,726930127935866",,"0,23161142668713222","49,82491746389413",,"236,0","53726,0","50769,0"
Major Isidoro,AL,1,1,0,0,0,"19804,0",0,0,0,0,0,0,0,0,0,0,0,"29,337507574227427",,"12,371238133710362","29,337507574227427",,"245,0","581,0","581,0"
Maragogi,AL,0,1,0,0,0,"32704,0",0,0,0,0,0,0,0,0,0,0,0,"63,050391389432484",,,"63,050391389432484",,,"2062,0","2062,0"
Marechal Deodoro,AL,0,0,0,0,0,"51901,0",0,0,0,0,0,0,0,0,0,0,0,"149,39981888595597",,,"137,58887112001693",,,"7754,0","7141,0"
Mar Vermelho,AL,0,1,0,0,0,"3514,0",0,0,0,0,0,0,0,0,0,0,0,"224,53044963005124",,"39,8406374501992","222,53841775754128",,"140,0","789,0","782,0"
Matriz de Camaragibe,AL,0,1,0,0,0,"24642,0",0,0,0,0,0,0,0,0,0,0,0,"12,255498741985228",,,"12,255498741985228",,,"302,0","302,0"
Messias,AL,0,1,0,0,0,"17856,0",0,0,0,0,0,0,0,0,0,0,0,"14,392921146953405",,,"14,392921146953405",,,"257,0","257,0"
Monteirópolis,AL,0,1,0,0,0,"7159,0",0,0,0,0,0,0,0,0,0,0,0,"23,0479117195139",,"7,682637239837966","23,0479117195139",,"55,0","165,0","165,0"
Novo Lino,AL,0,1,0,0,0,"12690,0",0,0,0,0,0,0,0,0,0,0,0,"34,436564223798264",,"0,07880220646178093","34,436564223798264",,"1,0","437,0","437,0"
Olivença,AL,0,1,0,0,0,"11624,0",0,0,0,0,0,0,0,0,0,0,0,"13,334480385409497",,"5,419821059876118","13,334480385409497",,"63,0","155,0","155,0"
Palmeira dos Índios,AL,1,1,0,0,0,"73218,0",0,0,0,0,0,0,0,0,0,0,0,"333,10114999043947","0,8877598404763856",,"330,80663224890054","65,0",,"24389,0","24221,0"
Paulo Jacinto,AL,0,1,0,0,0,"7564,0",0,0,0,0,0,0,0,0,0,0,0,"290,1903754627181","5,6848228450555265",,"285,8276044420941","43,0",,"2195,0","2162,0"
Penedo,AL,1,0,0,0,0,"63683,0",0,0,0,0,0,0,0,0,0,0,0,"1,5702777821396605",,"0,4710833346418981","1,5702777821396605",,"30,0","100,0","100,0"
Piranhas,AL,0,1,0,0,0,"25039,0",0,0,0,0,0,0,0,0,0,0,0,"105,79495986261432","6,829346219896961",,"91,85670354247374","171,0",,"2649,0","2300,0"
Poço das Trincheiras,AL,1,1,0,0,0,"14386,0",0,0,0,0,0,0,0,0,0,0,0,"10,00973168358126",,"2,7804810232170163","10,00973168358126",,"40,0","144,0","144,0"
Quebrangulo,AL,0,1,0,0,0,"11294,0",0,0,0,0,0,0,0,0,0,0,0,"259,60687090490524","1,7708517797060386",,"237,7368514255357","20,0",,"2932,0","2685,0"
Rio Largo,AL,0,1,0,0,0,"75120,0",0,0,0,0,0,0,0,0,0,0,0,"55,45793397231097","0,3194888178913738","2,422790202342918","55,45793397231097","24,0","182,0","4166,0","4166,0"
Santana do Ipanema,AL,0,1,0,0,0,"47654,0",0,0,0,0,0,0,0,0,0,0,0,"69,29114030301758","0,4196919461115541","1,867629160196416","69,29114030301758","20,0","89,0","3302,0","3302,0"
São José da Tapera,AL,0,1,0,0,0,"32260,0",0,0,0,0,0,0,0,0,0,0,0,"17,885926844389335",,"2,851828890266584","17,885926844389335",,"92,0","577,0","577,0"
São Miguel dos Campos,AL,1,0,0,0,0,"61251,0",0,0,0,0,0,0,0,0,0,0,0,"190,21730257465182",,"0,08163132030497461","171,0992473592268",,"5,0","11651,0","10480,0"
Satuba,AL,0,1,0,0,0,"13828,0",0,0,0,0,0,0,0,0,0,0,0,"28,854498119757015",,,"28,854498119757015",,,"399,0","399,0"
União dos Palmares,AL,0,0,0,0,0,"65611,0",0,0,0,0,0,0,0,0,0,0,0,"205,43811251162154","0,12193077380317326","0,487723095212693","199,21964304765967","8,0","32,0","13479,0","13071,0"
Alvarães,AM,1,1,0,0,0,"16041,0",0,0,0,0,0,0,0,0,0,0,0,"19,512499220746836",,"0,7480830372171311","19,45015896764541",,"12,0","313,0","312,0"
Autazes,AM,0,1,0,0,0,"39565,0",0,0,0,0,0,0,0,0,0,0,0,"6,9758625047390375",,"0,12637432073802604","6,9758625047390375",,"5,0","276,0","276,0"
Benjamin Constant,AM,1,1,0,0,0,"42984,0",0,0,0,0,0,0,0,0,0,0,0,"30,871952354364414",,"0,48855388051367954","30,871952354364414",,"21,0","1327,0","1327,0"
Carauari,AM,1,1,0,0,0,"28294,0",0,0,0,0,0,0,0,0,0,0,0,"75,2102919346858","0,7422068283028204","0,8835795575033576","74,998232840885","21,0","25,0","2128,0","2122,0"
Careiro da Várzea,AM,0,1,0,0,0,"30225,0",0,0,0,0,0,0,0,0,0,0,0,"4,102564102564102",,"0,3308519437551696","3,970223325062035",,"10,0","124,0","120,0"
Codajás,AM,0,1,0,0,0,"28637,0",0,0,0,0,0,0,0,0,0,0,0,"19,90431958654887",,"0,3491985892376995","19,8693997276251",,"10,0","570,0","569,0"
Eirunepé,AM,0,1,0,0,0,"35273,0",0,0,0,0,0,0,0,0,0,0,0,"49,13106341961274",,"0,4536047401695348","49,13106341961274",,"16,0","1733,0","1733,0"
Itamarati,AM,0,1,0,0,0,"7851,0",0,0,0,0,0,0,0,0,0,0,0,"62,28505922812381",,"2,292701566679404","62,28505922812381",,"18,0","489,0","489,0"
Juruá,AM,0,1,0,0,0,"14712,0",0,0,0,0,0,0,0,0,0,0,0,"48,12398042414356",,"1,223491027732463","48,12398042414356",,"18,0","708,0","708,0"
Manaquiri,AM,0,1,0,0,0,"32105,0",0,0,0,0,0,0,0,0,0,0,0,"22,488708923843635",,"0,3737735555209469","22,488708923843635",,"12,0","722,0","722,0"
Manaus,AM,1,0,1,0,0,"2182763,0",0,0,0,0,0,0,0,0,0,0,0,"30,95434547864335","0,0020758094213618244",,"30,814614321389907","4,531",,"67566,0","67261,0"
Manicoré,AM,1,0,0,0,0,"55751,0",0,0,0,0,0,0,0,0,0,0,0,"10,76213879571667",,"0,3228641638715","9,865293896073613",,"18,0","600,0","550,0"
Novo Airão,AM,1,0,0,0,0,"19454,0",0,0,0,0,0,0,0,0,0,0,0,"16,037832836434667",,"0,05140331037318804","16,037832836434667",,"1,0","312,0","312,0"
São Paulo de Olivença,AM,0,1,0,0,0,"39299,0",0,0,0,0,0,0,0,0,0,0,0,"32,596249268429226",,"0,5343647421053971","32,54535738822871",,"21,0","1281,0","1279,0"
Tabatinga,AM,0,1,0,0,0,"65844,0",0,0,0,0,0,0,0,0,0,0,0,"61,19008565700747",,"0,5011846181884454","61,159710831662714",,"33,0","4029,0","4027,0"
Urucará,AM,1,0,0,0,0,"16256,0",0,0,0,0,0,0,0,0,0,0,0,"58,31692913385827",,,"58,31692913385827",,,"948,0","948,0"
Macapá,AP,1,1,0,0,0,"503327,0",0,0,0,0,0,0,0,0,0,0,0,"1,1106100010529933","0,15496883735623165",,"0,7768309667472637","78,0",,"559,0","391,0"
Mazagão,AP,0,1,0,0,0,"21632,0",0,0,0,0,0,0,0,0,0,0,0,"0,3698224852071006","0,09245562130177515",,"0,3698224852071006","2,0",,"8,0","8,0"
Abaré,BA,0,1,0,0,0,"20086,0",0,0,0,0,0,1,0,0,0,0,0,"558,5482425570049",,"25,68953499950214","236,58269441401973",,"516,0","11219,0","4752,0"
Acajutiba,BA,1,1,0,0,0,"15159,0",0,0,0,0,0,1,0,0,0,0,0,"770,1695362490929",,,"529,9821887987334",,,"11675,0","8034,0"
Adustina,BA,1,1,0,0,0,"17040,0",0,0,0,0,0,1,0,0,0,0,0,"445,53990610328634",,"6,572769953051643","291,13849765258215",,"112,0","7592,0","4961,0"
Água Fria,BA,0,1,0,0,0,"16970,0",0,0,0,0,0,1,0,0,0,0,0,"343,90100176782556",,,"186,09310548025928",,,"5836,0","3158,0"
Aiquara,BA,0,1,0,0,0,"4446,0",0,0,0,0,0,1,0,0,0,0,0,"558,4795321637426",,"40,48582995951417","189,60863697705804",,"180,0","2483,0","843,0"
Alagoinhas,BA,1,0,0,0,0,"151596,0",0,0,0,0,0,0,0,0,0,0,0,"257,0912161270746","0,008469880471780258",,"237,26219689173857","1,284",,"38974,0","35968,0"
Alcobaça,BA,1,1,0,0,0,"22470,0",0,0,0,0,0,1,0,0,0,0,0,"931,5086782376502",,,"584,6016911437473",,,"20931,0","13136,0"
Almadina,BA,0,1,0,0,0,"5464,0",0,0,0,0,0,1,0,0,0,0,0,"682,2840409956076",,,"362,00585651537335",,,"3728,0","1978,0"
Amargosa,BA,0,1,0,0,0,"37241,0",0,0,0,0,0,1,0,0,0,0,0,"958,0838323353294",,"2,389839155769179","704,3312478182648",,"89,0","35680,0","26230,0"
Amélia Rodrigues,BA,1,1,0,0,0,"25102,0",0,0,0,0,0,1,0,0,0,0,0,"960,0430244602024",,"0,05413911242132101","758,7044856983507",,"1,359","24099,0","19045,0"
América Dourada,BA,1,1,0,0,0,"16094,0",0,0,0,0,0,1,0,0,0,0,0,"814,1543432335033",,"19,38610662358643","534,9198459053063",,"312,0","13103,0","8609,0"
Anagé,BA,1,1,0,0,0,"17857,0",0,0,0,0,0,1,0,0,0,0,0,"249,08999271994176",,,"83,21666573332587",,,"4448,0","1486,0"
Andaraí,BA,1,1,0,0,0,"13143,0",0,0,0,0,0,1,0,0,0,0,0,"384,00669557939585",,"17,34763752567907","236,24743209312942",,"228,0","5047,0","3105,0"
Andorinha,BA,0,1,0,0,0,"14595,0",0,0,0,0,0,1,0,0,0,0,0,"414,93662213086674",,"15,964371360054814","357,45118191161356",,"233,0","6056,0","5217,0"
Angical,BA,0,1,0,0,0,"13977,0",0,0,0,0,0,1,0,0,0,0,0,"675,538384488803",,,"269,4426557916577",,,"9442,0","3766,0"
Anguera,BA,1,1,0,0,0,"11221,0",0,0,0,0,0,1,0,0,0,0,0,"567,7747081365297",,"24,953212726138492","443,3651189733535",,"280,0","6371,0","4975,0"
Antas,BA,0,1,0,0,0,"19291,0",0,0,0,0,0,1,0,0,0,0,0,"333,575242340988",,,"169,56093515110675",,,"6435,0","3271,0"
Antônio Cardoso,BA,0,1,0,0,0,"11683,0",0,0,0,0,0,1,0,0,0,0,0,"426,3459727809638",,"6,676367371394334","267,9106393905675",,"78,0","4981,0","3130,0"
Antônio Gonçalves,BA,0,1,0,0,0,"11798,0",0,0,0,0,0,1,0,0,0,0,0,"303,6955416172233",,"3,05136463807425","229,8694694015935",,"36,0","3583,0","2712,0"
Aporá,BA,0,1,0,0,0,"17731,0",0,0,0,0,0,1,0,0,0,0,0,"700,8628954937681",,,"431,16575489256104",,,"12427,0","7645,0"
Apuarema,BA,0,1,0,0,0,"7330,0",0,0,0,0,0,1,0,0,0,0,0,"570,8049113233287",,,"233,0150068212824",,,"4184,0","1708,0"
Aracatu,BA,0,1,0,0,0,"13135,0",0,0,0,0,0,1,0,0,0,0,0,"447,5827940616673",,,"337,4191092500952",,,"5879,0","4432,0"
Araci,BA,1,1,0,0,0,"54379,0",0,0,0,0,0,1,0,0,0,0,0,"357,2334908696372",,,"253,02046745986502",,,"19426,0","13759,0"
Aramari,BA,1,1,0,0,0,"11397,0",0,0,0,0,0,1,0,0,0,0,0,"379,398087215934",,"25,269807844169517","208,38817232605072",,"288,0","4324,0","2375,0"
Arataca,BA,0,1,0,0,0,"11019,0",0,0,0,0,0,1,0,0,0,0,0,"496,506035030402",,,"339,32298756692984",,,"5471,0","3739,0"
Aratuípe,BA,1,1,0,0,0,"8825,0",0,0,0,0,0,1,0,0,0,0,0,"471,5014164305949",,,"297,45042492917844",,,"4161,0","2625,0"
Aurelino Leal,BA,0,1,0,0,0,"11531,0",0,0,0,0,0,1,0,0,0,0,0,"1219,4085508628914",,,"879,8889948833579",,,"14061,0","10146,0"
Baianópolis,BA,0,1,0,0,0,"13877,0",0,0,0,0,0,1,0,0,0,0,0,"327,9527275347698",,,"80,99733371766233",,,"4551,0","1124,0"
Baixa Grande,BA,1,1,0,0,0,"20468,0",0,0,0,0,0,1,0,0,0,0,0,"479,13816689466483",,"31,659175298026184","228,55188587062733",,"648,0","9807,0","4678,0"
Banzaê,BA,1,1,0,0,0,"13229,0",0,0,0,0,0,1,0,0,0,0,0,"192,60715095623252",,"0,30236601406001967","113,38725527250737",,"4,0","2548,0","1500,0"
Barra,BA,1,0,0,0,0,"53578,0",0,0,0,0,0,0,0,0,0,0,0,"2,799656575460077",,"0,037328754339467696","2,799656575460077",,"2,0","150,0","150,0"
Barra da Estiva,BA,1,1,0,0,0,"20598,0",0,0,0,0,0,1,0,0,0,0,0,"32,72162345858821",,"0,14564520827264782","20,050490338867853",,"3,0","674,0","413,0"
Barra do Choça,BA,0,1,0,0,0,"31603,0",0,0,0,0,0,1,0,0,0,0,0,"952,7260070246496",,,"789,3237983735721",,,"30109,0","24945,0"
Barra do Mendes,BA,0,1,0,0,0,"13865,0",0,0,0,0,0,1,0,0,0,0,0,"561,2693833393437",,"0,13588171655247025","389,1092679408583",,"1,884","7782,0","5395,0"
Barra do Rocha,BA,0,1,0,0,0,"5714,0",0,0,0,0,0,1,0,0,0,0,0,"634,5817290864543",,,"428,4214210710536",,,"3626,0","2448,0"
Barreiras,BA,0,1,0,0,0,"155439,0",0,0,0,0,0,1,0,0,0,0,0,"1221,8812524527307",,"2,798525466581746","1030,3784764441357",,"435,0","189928,0","160161,0"
Barro Alto,BA,0,1,0,0,0,"14931,0",0,0,0,0,0,1,0,0,0,0,0,"285,04453820909515",,"44,404259594133016","162,07889625611145",,"663,0","4256,0","2420,0"
Barrocas,BA,1,1,0,0,0,"15978,0",0,0,0,0,0,1,0,0,0,0,0,"469,0199023657529",,,"415,7591688571786",,,"7494,0","6643,0"
Belmonte,BA,0,1,0,0,0,"23328,0",0,0,0,0,0,1,0,0,0,0,0,"532,2788065843621",,,"312,1999314128944",,,"12417,0","7283,0"
Belo Campo,BA,1,1,0,0,0,"17211,0",0,0,0,0,0,1,0,0,0,0,0,"418,9762361280576",,,"348,1494393120679",,,"7211,0","5992,0"
Biritinga,BA,1,1,0,0,0,"15979,0",0,0,0,0,0,1,0,0,0,0,0,"257,7132486388385",,,"191,3761812378747",,,"4118,0","3058,0"
Boa Nova,BA,0,1,0,0,0,"12633,0",0,0,0,0,0,1,0,0,0,0,0,"404,0212142800602",,,"241,3520145650281",,,"5104,0","3049,0"
Boa Vista do Tupim,BA,1,1,0,1,0,"18576,0",0,0,0,0,0,1,0,0,0,0,0,"581,1800172265289",,"0,07945736434108526","340,869939707149",,"1,476","10796,0","6332,0"
Bom Jesus da Lapa,BA,1,0,0,0,0,"69148,0",0,0,0,0,0,0,0,0,0,0,0,"216,0727714467519","0,053392722855324815",,"205,7181697229132","3,692",,"14941,0","14225,0"
Bom Jesus da Serra,BA,1,1,0,0,0,"9880,0",0,0,0,0,0,1,0,0,0,0,0,"257,99595141700405",,,"180,36437246963564",,,"2549,0","1782,0"
Boninal,BA,1,1,0,0,0,"14368,0",0,0,0,0,0,1,0,0,0,0,0,"151,16926503340758",,"20,0445434298441","83,72772828507794",,"288,0","2172,0","1203,0"
Bonito,BA,0,1,0,0,0,"16764,0",0,0,0,0,0,1,0,0,0,0,0,"307,02696253877355",,"8,589835361488905","203,2331185874493",,"144,0","5147,0","3407,0"
Botuporã,BA,0,1,0,0,0,"10211,0",0,0,0,0,0,1,0,0,0,0,0,"346,1952796004309",,"24,67926745666438","175,39907942415041",,"252,0","3535,0","1791,0"
Brejões,BA,1,1,0,0,0,"14295,0",0,0,0,0,0,1,0,0,0,0,0,"477,85939139559287","43,37180832458902",,"205,94613501224205","620,0",,"6831,0","2944,0"
Brejolândia,BA,1,1,0,0,0,"10557,0",0,0,0,0,0,1,0,0,0,0,0,"304,25310220706643",,,"106,3749171166051",,,"3212,0","1123,0"
Brotas de Macaúbas,BA,1,1,0,1,0,"10231,0",0,0,0,0,0,1,0,0,0,0,0,"234,97214348548528",,"25,803929234678918","144,85387547649302",,"264,0","2404,0","1482,0"
Brumado,BA,1,1,0,0,0,"67195,0",0,0,0,0,0,1,0,0,0,0,0,"1206,3397574224273",,,"1094,590371307389",,,"81060,0","73551,0"
Buerarema,BA,0,1,0,0,0,"18349,0",0,0,0,0,0,1,0,0,0,0,0,"849,1470924846041",,,"712,3003978418443",,,"15581,0","13070,0"
Caatiba,BA,0,1,0,0,0,"6758,0",0,0,0,0,0,1,0,0,0,0,0,"726,6942882509618",,,"364,45693992305416",,,"4911,0","2463,0"
Cabaceiras do Paraguaçu,BA,1,1,0,0,0,"18807,0",0,0,0,0,0,1,0,0,0,0,0,"514,1170840644442",,"3,1903014834901895","353,64491944488753",,"60,0","9669,0","6651,0"
Cachoeira,BA,0,1,0,0,0,"33470,0",0,0,0,0,0,1,0,0,0,0,0,"846,3101284732596",,,"577,352853301464",,,"28326,0","19324,0"
Caculé,BA,1,1,0,0,0,"23170,0",0,0,0,0,0,1,0,0,0,0,0,"552,1795425118688","4,315925766076823","10,27190332326284","308,20025895554596","100,0","238,0","12794,0","7141,0"
Caém,BA,1,1,0,0,0,"9213,0",0,0,0,0,0,1,0,0,0,0,0,"547,704330836861",,,"393,57429718875505",,,"5046,0","3626,0"
Caetanos,BA,0,1,0,0,0,"15573,0",0,0,0,0,0,1,0,0,0,0,0,"181,72478006806654",,,"84,0557374943813",,,"2830,0","1309,0"
Caetité,BA,1,1,0,0,0,"50975,0",0,0,0,0,0,1,0,0,0,0,0,"839,0583619421285",,"2,197155468366846","784,600294261893",,"112,0","42771,0","39995,0"
Cafarnaum,BA,0,1,0,0,0,"18437,0",0,0,0,0,0,1,0,0,0,0,0,"745,186310137224",,"3,9051906492379453","473,5043662201009",,"72,0","13739,0","8730,0"
Cairu,BA,1,1,0,0,0,"18176,0",0,0,0,0,0,1,0,0,0,0,0,"1062,3349471830986",,,"656,5801056338029",,,"19309,0","11934,0"
Caldeirão Grande,BA,0,1,0,0,0,"13327,0",0,0,0,0,0,1,0,0,0,0,0,"503,3390860658813",,"6,302993922113004","392,28633600960455",,"84,0","6708,0","5228,0"
Camacan,BA,1,1,0,0,0,"31988,0",0,0,0,0,0,1,0,0,0,0,0,"971,645617106415",,,"684,6942603476303",,,"31081,0","21902,0"
Camaçari,BA,0,1,0,1,0,"299132,0",0,0,0,0,0,1,0,0,0,0,0,"915,9334340692403",,"0,012843828142759717","781,2905339448806",,"3,842","273985,0","233709,0"
Camamu,BA,1,1,0,0,0,"35316,0",0,0,0,0,0,1,0,0,0,0,0,"805,7820817759656",,,"540,519877675841",,,"28457,0","19089,0"
Campo Alegre de Lourdes,BA,0,1,0,0,0,"28798,0",0,0,0,0,0,1,0,0,0,0,0,"295,5066324050281",,,"218,5221195916383",,,"8510,0","6293,0"
Campo Formoso,BA,0,1,0,0,0,"71206,0",0,0,0,0,0,1,0,0,0,0,0,"265,9888211667556",,"2,190826615734629","223,68901497064854",,"156,0","18940,0","15928,0"
Canápolis,BA,0,1,0,0,0,"9711,0",0,0,0,0,0,1,0,0,0,0,0,"489,85686335083926",,,"341,5714138605705",,,"4757,0","3317,0"
Canarana,BA,0,1,0,0,0,"26176,0",0,0,0,0,0,1,0,0,0,0,0,"670,5378973105135",,"0,045270476772616135","466,8780562347188",,"1,185","17552,0","12221,0"
Canavieiras,BA,0,1,0,0,0,"31099,0",0,0,0,0,0,1,0,0,0,0,0,"1376,8288369400946",,,"1114,1837358114408",,,"42818,0","34650,0"
Candeal,BA,1,1,0,0,0,"8258,0",0,0,0,0,0,1,0,0,0,0,0,"513,4415112618067",,"10,171954468394285","271,85759263744245",,"84,0","4240,0","2245,0"
Candeias,BA,0,1,0,0,0,"87076,0",0,0,0,0,0,1,0,0,0,0,0,"1005,4664890440534",,"0,016835867518030224","875,2583949653176",,"1,466","87552,0","76214,0"
Candiba,BA,1,1,0,0,0,"14319,0",0,0,0,0,0,1,0,0,0,0,0,"378,6577274949368",,,"242,33535861442837",,,"5422,0","3470,0"
Cândido Sales,BA,1,1,0,0,0,"25189,0",0,0,0,0,0,1,0,0,0,0,0,"917,1066735479773",,,"785,3428083687323",,,"23101,0","19782,0"
Cansanção,BA,1,1,0,0,0,"34834,0",0,0,0,0,0,1,0,0,0,0,0,"421,2263880117127","2,2966067635069183","9,30125739220302","340,931274042602","80,0","324,0","14673,0","11876,0"
Canudos,BA,1,1,0,0,0,"16668,0",0,0,0,0,0,1,0,0,0,0,0,"640,1487880969522",,"28,49772018238541","373,95008399328054",,"475,0","10670,0","6233,0"
Capela do Alto Alegre,BA,1,1,0,0,0,"11637,0",0,0,0,0,0,1,0,0,0,0,0,"493,9417375612271",,"61,52788519377846","299,0461459138953",,"716,0","5748,0","3480,0"
Capim Grosso,BA,1,1,0,0,0,"30662,0",0,0,0,0,0,1,0,0,0,0,0,"616,2350792511903",,,"491,55306242254255",,,"18895,0","15072,0"
Caraíbas,BA,0,1,0,0,0,"8951,0",0,0,0,0,0,1,0,0,0,0,0,"324,2095855211708",,,"201,5417271813205",,,"2902,0","1804,0"
Caravelas,BA,0,1,0,0,0,"22016,0",0,0,0,0,0,1,0,0,0,0,0,"752,5436046511628",,,"393,3048691860465",,,"16568,0","8659,0"
Cardeal da Silva,BA,1,1,0,0,0,"9295,0",0,0,0,0,0,1,0,0,0,0,0,"820,1183431952662",,"59,38676707907477","442,28079612695",,"552,0","7623,0","4111,0"
Carinhanha,BA,0,0,0,0,0,"29018,0",0,0,0,0,0,0,0,0,0,0,0,"12,061479081949136","1,723068440278448","0,5169205320835344","12,061479081949136","50,0","15,0","350,0","350,0"
Castro Alves,BA,1,1,0,0,0,"26264,0",0,0,0,0,0,1,0,0,0,0,0,"901,4240024367956",,"8,909533962838866","701,530612244898",,"234,0","23675,0","18425,0"
Catolândia,BA,0,1,0,0,0,"3577,0",0,0,0,0,0,1,0,0,0,0,0,"599,3849594632374",,,"315,9071847917249",,,"2144,0","1130,0"
Catu,BA,0,0,0,1,0,"54704,0",0,0,0,0,0,0,0,0,0,0,0,"266,14141561860197",,,"248,04401871892367",,,"14559,0","13569,0"
Caturama,BA,0,1,0,0,0,"9329,0",0,0,0,0,0,1,0,0,0,0,0,"349,9839211062279",,"2,3582377532425767","249,43723871797621",,"22,0","3265,0","2327,0"
Central,BA,0,1,0,0,0,"17266,0",0,0,0,0,0,1,0,0,0,0,0,"972,7788717711109",,"0,1139812347967103","670,9139349009614",,"1,968","16796,0","11584,0"
Chorrochó,BA,1,1,0,0,0,"11177,0",0,0,0,0,0,1,0,0,0,0,0,"454,50478661537085",,"10,736333542095375","164,62378097879574",,"120,0","5080,0","1840,0"
Cícero Dantas,BA,1,1,0,0,0,"32515,0",0,0,0,0,0,1,0,0,0,0,0,"590,1891434722436","4,151929878517607","4,859295709672459","422,2974011994464","135,0","158,0","19190,0","13731,0"
Cipó,BA,1,1,0,0,0,"17300,0",0,0,0,0,0,1,0,0,0,0,0,"801,2138728323699","2,890173410404624",,"385,5491329479769","50,0",,"13861,0","6670,0"
Coaraci,BA,0,1,0,0,0,"16993,0",0,0,0,0,0,1,0,0,0,0,0,"1112,4580709703996",,"21,244041664214677","791,149296769258",,"361,0","18904,0","13444,0"
Conceição da Feira,BA,0,1,0,0,0,"22581,0",0,0,0,0,0,1,0,0,0,0,0,"810,5044063593286",,"2,8342411762100883","542,7129002258536",,"64,0","18302,0","12255,0"
